Date,Area,Sales,Avg_Price,Med_Price
2013-1-01,C01,159,"$403,082","$368,000"
2013-1-01,C02,13,"$732,846","$696,000"
2013-1-01,C03,1,"$345,000","$345,000"
2013-1-01,C04,8,"$377,813","$387,500"
2013-1-01,C06,7,"$317,986","$310,000"
2013-1-01,C07,36,"$330,129","$332,500"
2013-1-01,C08,55,"$402,080","$370,000"
2013-1-01,C09,4,"$647,250","$650,000"
2013-1-01,C10,24,"$452,506","$418,998"
2013-1-01,C11,14,"$234,584","$237,500"
2013-1-01,C12,2,"$1,015,500","$1,015,500"
2013-1-01,C13,15,"$301,127","$276,000"
2013-1-01,C14,69,"$376,429","$374,500"
2013-1-01,C15,39,"$357,015","$330,000"
