Date,Area,Sales,Avg_Price,Med_Price
2019-6-01,C01,359,"$712,649","$650,000"
2019-6-01,C02,40,"$1,043,642","$717,450"
2019-6-01,C03,12,"$714,600","$722,500"
2019-6-01,C04,20,"$736,770","$680,000"
2019-6-01,C06,17,"$562,582","$515,000"
2019-6-01,C07,52,"$605,325","$560,500"
2019-6-01,C08,164,"$693,007","$627,000"
2019-6-01,C09,17,"$1,574,759","$1,305,000"
2019-6-01,C10,46,"$689,921","$637,500"
2019-6-01,C11,18,"$532,872","$426,250"
2019-6-01,C12,7,"$1,179,653","$866,500"
2019-6-01,C13,26,"$537,362","$479,450"
2019-6-01,C14,101,"$599,174","$583,000"
2019-6-01,C15,87,"$539,605","$487,500"
