Date,Area,Sales,Avg_Price,Med_Price
2000-01-01,C04,8,249825,211750
2000-02-01,C04,11,189723,160000
2000-04-01,C04,20,275758,227500
2000-05-01,C04,15,299360,258000
2000-06-01,C04,12,258938,230000
2000-08-01,C04,18,238646,206750
2000-09-01,C04,11,337091,265000
2000-10-01,C04,15,289789,216500
2000-11-01,C04,11,218673,172000
2000-12-01,C04,13,177362,166500
2001-01-01,C04,9,248444,196000
2001-02-01,C04,18,300388,207500
2001-03-01,C04,14,242481,224750
2001-04-01,C04,22,241222,199745
2001-05-01,C04,17,337618,290000
2001-06-01,C04,15,251229,215000
2001-07-01,C04,10,197950,190000
2001-08-01,C04,19,385748,210000
2001-09-01,C04,8,234000,147000
2001-10-01,C04,17,253364,218000
2001-11-01,C04,13,220500,180000
2001-12-01,C04,13,199153,182900
2002-01-01,C04,9,237166,186000
2002-02-01,C04,10,213660,215250
2002-03-01,C04,16,269031,206000
2002-04-01,C04,18,356299,304000
2002-05-01,C04,17,299912,250000
2002-06-01,C04,11,372718,269000
2002-07-01,C04,15,406253,245000
2002-08-01,C04,11,247663,255000
2002-09-01,C04,12,333208,307250
2002-10-01,C04,22,343672,259745
2002-11-01,C04,15,285217,268000
2002-12-01,C04,13,333269,235000
2003-01-01,C04,9,281422,260000
2003-02-01,C04,18,269333,260750
2003-03-01,C04,23,239065,229000
2003-04-01,C04,18,294200,252000
2003-05-01,C04,20,444810,317500
2003-06-01,C04,20,350349,258000
2003-07-01,C04,18,212806,182500
2003-08-01,C04,22,370377,238995
2003-09-01,C04,13,231385,209000
2003-10-01,C04,12,315533,234950
2003-11-01,C04,10,342000,290000
2003-12-01,C04,6,188167,182000
2004-01-01,C04,8,208125,211250
2004-02-01,C04,20,276745,252500
2004-03-01,C04,25,290337,260400
2004-04-01,C04,23,311524,226500
2004-05-01,C04,27,311981,275000
2004-06-01,C04,14,266943,196550
2004-07-01,C04,12,205083,179500
2004-08-01,C04,15,260740,231200
2004-09-01,C04,12,293167,233750
2004-10-01,C04,10,258980,282450
2004-11-01,C04,21,273114,241500
2004-12-01,C04,10,230385,208500
2005-01-01,C04,8,299875,249000
2005-02-01,C04,14,281064,258450
2005-03-01,C04,19,256658,207000
2005-04-01,C04,23,255796,230000
2005-05-01,C04,27,302850,252000
2005-06-01,C04,26,281516,229750
2005-07-01,C04,19,347974,242500
2005-08-01,C04,17,268582,207000
2005-09-01,C04,22,304132,273500
2005-10-01,C04,24,261948,254250
2005-11-01,C04,24,280458,224000
2005-12-01,C04,16,341469,196500
2006-01-01,C04,20,255310,215000
2006-02-01,C04,22,240814,259000
2006-03-01,C04,27,288770,241800
2006-04-01,C04,23,240291,242000
2006-05-01,C04,30,330497,261500
2006-06-01,C04,26,249239,204500
2006-07-01,C04,17,265618,250000
2006-08-01,C04,13,338654,305000
2006-09-01,C04,15,272433,277000
2006-10-01,C04,24,282438,247500
2006-11-01,C04,29,307695,258000
2006-12-01,C04,22,262977,170500
2007-01-01,C04,17,214676,166000
2007-02-01,C04,16,264703,233000
2007-03-01,C04,21,255324,252000
2007-04-01,C04,18,289875,256500
2007-05-01,C04,33,361532,275000
2007-06-01,C04,24,258986,222000
2007-07-01,C04,21,225376,179900
2007-08-01,C04,34,275474,243500
2007-09-01,C04,22,291875,259944
2007-10-01,C04,21,257064,232000
2007-11-01,C04,25,350372,318500
2007-12-01,C04,22,298386,282500
2008-01-01,C04,20,277987,278000
2008-02-01,C04,15,341867,269000
2008-03-01,C04,22,255914,243750
2008-04-01,C04,22,275903,255500
2008-05-01,C04,24,318415,294000
2008-06-01,C04,21,312190,268000
2008-07-01,C04,16,263944,209500
2008-08-01,C04,17,366765,308000
2008-09-01,C04,20,337595,309500
2008-10-01,C04,14,311821,281250
2008-11-01,C04,4,257250,274500
2008-12-01,C04,8,292625,224000
2009-01-01,C04,8,252063,184500
2009-02-01,C04,17,315971,286000
2009-03-01,C04,16,303313,270000
2009-04-01,C04,25,297330,255000
2009-05-01,C04,29,314545,280000
2009-06-01,C04,29,353517,325000
2009-07-01,C04,29,356128,309900
2009-08-01,C04,21,292329,233000
2009-09-01,C04,14,286000,294500
2009-10-01,C04,22,360591,291500
2009-11-01,C04,29,312276,289400
2009-12-01,C04,18,294361,312000
2010-01-01,C04,14,295364,292500
2010-02-01,C04,29,344538,285000
2010-03-01,C04,29,351748,275000
2010-04-01,C04,27,332946,255000
2010-05-01,C04,33,365452,335000
2010-06-01,C04,21,374557,325000
2010-07-01,C04,12,396500,337500
2010-08-01,C04,17,427000,264000
2010-09-01,C04,17,289729,282600
2010-10-01,C04,20,434170,340500
2010-11-01,C04,17,369376,335000
2010-12-01,C04,13,313339,320000
2011-01-01,C04,10,412288,400688
2011-02-01,C04,20,289288,305000
2011-03-01,C04,23,339372,286500
2011-04-01,C04,23,451826,385000
2011-05-01,C04,26,379927,312000
2011-06-01,C04,17,438788,320000
2011-07-01,C04,18,341972,286500
2011-08-01,C04,14,304821,251000
2011-09-01,C04,13,545777,450000
2011-10-01,C04,11,733391,440000
2011-11-01,C04,15,413800,390000
2011-12-01,C04,10,446400,403000
2012-01-01,C04,10,373716,316750
2012-02-01,C04,10,663078,434040
2012-03-01,C04,17,377935,353000
2012-04-01,C04,23,596087,472000
2012-05-01,C04,18,498456,395000
2012-06-01,C04,17,619846,575000
2012-07-01,C04,7,515571,373000
2012-08-01,C04,19,393553,325000
2012-09-01,C04,11,588082,439000
2012-10-01,C04,18,400011,327500
2012-11-01,C04,12,429917,305000
2012-12-01,C04,10,586200,246000
2013-01-01,C04,8,377813,387500
2013-02-01,C04,19,507978,470000
2013-03-01,C04,17,474618,432500
2013-04-01,C04,28,463314,379650
2013-05-01,C04,23,532922,467000
2013-06-01,C04,16,494013,422500
2013-07-01,C04,23,416376,330000
2013-08-01,C04,12,585750,333500
2013-09-01,C04,8,461125,376000
2013-10-01,C04,17,467288,391500
2013-11-01,C04,16,468544,341450
2013-12-01,C04,9,516889,405000
2014-01-01,C04,7,352357,290000
2014-02-01,C04,20,465641,379750
2014-03-01,C04,15,380700,309000
2014-04-01,C04,24,526471,469650
2014-05-01,C04,13,686500,410000
2014-06-01,C04,20,546000,382000
2014-07-01,C04,16,422719,351750
2014-08-01,C04,13,601569,365000
2014-09-01,C04,14,570364,485500
