Area,Date,Sales,Avg_Price,Med_Price
C01,2014-07-01,369,445484,396000
C02,2014-07-01,31,822323,635000
C03,2014-07-01,7,506214,423500
C04,2014-07-01,16,422719,351750
C06,2014-07-01,15,327933,309000
C07,2014-07-01,58,342722,323250
C08,2014-07-01,139,428268,393000
C09,2014-07-01,11,750527,820000
C10,2014-07-01,35,473263,405000
C11,2014-07-01,18,232639,227500
C12,2014-07-01,14,690618,516500
C13,2014-07-01,41,357112,336000
C14,2014-07-01,144,402364,371750
C15,2014-07-01,66,358551,339500
E01,2014-07-01,14,501263,444400
E02,2014-07-01,10,412349,376250
E03,2014-07-01,13,237777,168200
E04,2014-07-01,36,201840,190500
E05,2014-07-01,45,263013,253600
E06,2014-07-01,5,299900,335500
E07,2014-07-01,31,255842,255000
E08,2014-07-01,18,176711,171000
E09,2014-07-01,60,262721,260750
E10,2014-07-01,1,138000,138000
E11,2014-07-01,25,165322,150000
W01,2014-07-01,16,382687,350000
W02,2014-07-01,15,404500,381000
W03,2014-07-01,7,292857,284000
W04,2014-07-01,15,212133,195000
W05,2014-07-01,28,181310,169500
W06,2014-07-01,73,379344,345000
W07,2014-07-01,1,387000,387000
W08,2014-07-01,95,339954,304900
W09,2014-07-01,22,184245,150000
W10,2014-07-01,33,193864,198000
