"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","110674","","","","0"
"1988-06","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3423","","","","0"
"1988-06","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819049","3","599","","","","0"
"1988-06","Prince Edward Island","2016A000211","Units","300","units","0","v15819050","4","239","","","","0"
"1988-06","Nova Scotia","2016A000212","Units","300","units","0","v15819051","5","1741","","","","0"
"1988-06","New Brunswick","2016A000213","Units","300","units","0","v15819052","6","844","","","","0"
"1988-06","Quebec","2016A000224","Units","300","units","0","v15819053","7","24402","","","","0"
"1988-06","Montréal, Quebec","2011S0503462","Units","300","units","0","v15819054","8","16744","","","","0"
"1988-06","Quebec, excluding Montréal","","Units","300","units","0","v15819055","9","7658","","","","0"
"1988-06","Ontario","2016A000235","Units","300","units","0","v15819056","10","61244","","","","0"
"1988-06","Toronto, Ontario","2011S0503535","Units","300","units","0","v15819057","11","36800","","","","0"
"1988-06","Ontario, excluding Toronto","","Units","300","units","0","v15819058","12","24444","","","","0"
"1988-06","Manitoba","2016A000246","Units","300","units","0","v15819059","13","4369","","","","0"
"1988-06","Saskatchewan","2016A000247","Units","300","units","0","v15819060","14","1397","","","","0"
"1988-06","Alberta","2016A000248","Units","300","units","0","v15819061","15","3215","","","","0"
"1988-06","British Columbia","2016A000259","Units","300","units","0","v15819062","16","12624","","","","0"
"1988-06","Vancouver, British Columbia","2011S0503933","Units","300","units","0","v15819063","17","9678","","","","0"
"1988-06","British Columbia, excluding Vancouver","","Units","300","units","0","v15819064","18","2946","","","","0"
"1988-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","108569","","","","0"
"1988-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3779","","","","0"
"1988-07","Newfoundland and Labrador","2016A000210","Units","300","units","0","v15819049","3","693","","","","0"
"1988-07","Prince Edward Island","2016A000211","Units","300","units","0","v15819050","4","276","","","","0"
"1988-07","Nova Scotia","2016A000212","Units","300","units","0","v15819051","5","1825","","","","0"
"1988-07","New Brunswick","2016A000213","Units","300","units","0","v15819052","6","985","","","","0"
"1988-07","Quebec","2016A000224","Units","300","units","0","v15819053","7","19528","","","","0"
"1988-07","Montréal, Quebec","2011S0503462","Units","300","units","0","v15819054","8","14583","","","","0"
"1988-07","Quebec, excluding Montréal","","Units","300","units","0","v15819055","9","4945","","","","0"
"1988-07","Ontario","2016A000235","Units","300","units","0","v15819056","10","63165","","","","0"
"1988-07","Toronto, Ontario","2011S0503535","Units","300","units","0","v15819057","11","37260","","","","0"
"1988-07","Ontario, excluding Toronto","","Units","300","units","0","v15819058","12","25905","","","","0"
"1988-07","Manitoba","2016A000246","Units","300","units","0","v15819059","13","4210","","","","0"
