"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Weekly BCPI"

"DESCRIPTION"
"Weekly Bank of Canada commodity price index."

"SERIES"
"id","label","description"
"W.BCPI","Weekly BCPI Total - v52673503","Weekly Bank of Canada commodity price index - Total"
"W.BCNE","Weekly BCPI Excluding Energy - v52673504","Weekly Bank of Canada commodity price index - Excluding Energy"
"W.ENER","Weekly BCPI Energy - v52673505","Weekly Bank of Canada commodity price index - Energy"
"W.MTLS","Weekly BCPI Metals and Minerals - v52673506","Weekly Bank of Canada commodity price index - Metals and Minerals"
"W.FOPR","Weekly BCPI Forestry - v52673509","Weekly Bank of Canada commodity price index - Forestry"
"W.AGRI","Weekly BCPI Agriculture - v52673507","Weekly Bank of Canada commodity price index - Agriculture"
"W.FISH","Weekly BCPI Fish - v52673508","Weekly Bank of Canada commodity price index - Fish"

"OBSERVATIONS"
"date","W.BCPI","W.BCNE","W.ENER","W.MTLS","W.FOPR","W.AGRI","W.FISH"
"1972-01-12","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"1972-01-19","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"1972-01-26","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"1972-02-02","100.16","100.21","99.91","100.29","100.05","100.48","95.56"
"1972-02-09","100.40","100.53","99.78","100.74","100.12","101.20","88.89"
"1972-02-16","100.40","100.53","99.78","100.74","100.12","101.20","88.89"
"1972-02-23","100.40","100.53","99.78","100.74","100.12","101.20","88.89"
"1972-03-01","100.54","100.70","99.84","100.87","100.14","101.47","90.90"
"1972-03-08","101.11","101.35","100.05","101.38","100.24","102.53","98.97"
"1972-03-15","101.11","101.35","100.05","101.38","100.24","102.53","98.97"
"1972-03-22","101.11","101.35","100.05","101.38","100.24","102.53","98.97"
"1972-03-29","101.11","101.35","100.05","101.38","100.24","102.53","98.97"
"1972-04-05","101.14","101.41","99.92","101.28","100.66","102.26","101.45"
"1972-04-12","101.16","101.45","99.84","101.21","100.95","102.08","103.10"
"1972-04-19","101.16","101.45","99.84","101.21","100.95","102.08","103.10"
"1972-04-26","101.16","101.45","99.84","101.21","100.95","102.08","103.10"
"1972-05-03","101.59","101.96","99.94","101.24","101.77","102.95","93.02"
"1972-05-10","101.88","102.30","100.00","101.25","102.32","103.53","86.30"
"1972-05-17","101.88","102.30","100.00","101.25","102.32","103.53","86.30"
"1972-05-24","101.88","102.30","100.00","101.25","102.32","103.53","86.30"
"1972-05-31","101.88","102.30","100.00","101.25","102.32","103.53","86.30"
"1972-06-07","102.10","102.53","100.16","100.87","102.94","103.65","90.70"
"1972-06-14","102.10","102.53","100.16","100.87","102.94","103.65","90.70"
"1972-06-21","102.10","102.53","100.16","100.87","102.94","103.65","90.70"
"1972-06-28","102.10","102.53","100.16","100.87","102.94","103.65","90.70"
"1972-07-05","103.06","103.69","100.26","100.70","104.18","105.58","94.73"
"1972-07-12","103.70","104.46","100.32","100.59","105.00","106.87","97.42"
"1972-07-19","103.70","104.46","100.32","100.59","105.00","106.87","97.42"
"1972-07-26","103.70","104.46","100.32","100.59","105.00","106.87","97.42"
"1972-08-02","104.15","104.92","100.68","100.82","105.05","107.89","98.86"
"1972-08-09","104.81","105.61","101.21","101.18","105.13","109.42","101.03"
"1972-08-16","104.81","105.61","101.21","101.18","105.13","109.42","101.03"
"1972-08-23","104.81","105.61","101.21","101.18","105.13","109.42","101.03"
"1972-08-30","104.81","105.61","101.21","101.18","105.13","109.42","101.03"
"1972-09-06","105.60","106.59","101.21","102.52","105.27","110.89","104.96"
"1972-09-13","105.80","106.83","101.21","102.86","105.31","111.26","105.94"
"1972-09-20","105.80","106.83","101.21","102.86","105.31","111.26","105.94"
"1972-09-27","105.80","106.83","101.21","102.86","105.31","111.26","105.94"
"1972-10-04","106.21","107.34","101.18","102.76","106.24","111.78","106.72"
"1972-10-11","106.49","107.68","101.16","102.69","106.86","112.13","107.24"
"1972-10-18","106.49","107.68","101.16","102.69","106.86","112.13","107.24"
"1972-10-25","106.49","107.68","101.16","102.69","106.86","112.13","107.24"
