Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Total_Enrolment,York_Total_Enrolment,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Prime_Rate_2,Bank_of_Canada_Overnight_Rate
2001-01-01,1.502559091,7.4,2.8,33393.91068,262.182,2641.687163,265.2966667,11771945,34801,3144,15176,11129,80.04,36.8,8549,36712,45261,25846,39000,5.3,68.6,65,4882618,528,185757.6686,1457,511,7.25,7.11
2001-02-01,1.5219807,7.25,3.274301953,33414.60595,258.25,2474.819966,261.3108,11789226.5,37662.09142,2596.931225,17272.33196,11735.03833,79.88335352,36.82014705,8549,36712,45261,25846,39000,6.4,68.6,64.2,4894687.054,732,189990.7036,946,227,7.25,7.11
2001-03-01,1.557831545,6.75,3.523190841,33421.15412,250.7975,1999.363187,262.5739286,11806462.06,39796.62476,2862.309003,19017.66529,12893.305,79.74653314,36.83919517,8549,36712,45261,25846,39000,6.3,69,64.7,4905287.46,925,191476.2205,1015,387,6.75,5.25
2001-04-01,1.558628737,6.625,3.6,33411.95797,247.6,1929.581512,260.0738095,11827345,41662,3997,20786,14852,79.60022022,36.86122612,8549,36712,45261,25846,39000,6.2,69.2,65,4916690.735,836,189802.6914,1503,1151,6.5,4.86
2001-05-01,1.541287091,6.45,3.475476383,33549.86515,254.802,2178.740467,271.7556,11849356.01,42969.07156,5936.427697,22333.20337,17424.2094,79.46379667,36.88348887,8549,36712,45261,25846,39000,6.1,69.6,65.4,4927393.091,958,191658.3372,1810,175,6.25,5.44
2001-06-01,1.525561429,6.25,3.15070854,33500.662,247.9125,2110.664301,270.2369231,11873725.4,43577.08226,8484.951339,23481.41606,20341.47063,79.32816759,36.90746758,8549,36712,45261,25846,39000,6.3,69.7,65.3,4938108.019,1024,193900.3486,1928,411,6.25,5.44
2001-07-01,1.528156864,6.125,2.7,33336.94396,240.2525,2039.163795,267.1369231,11897534,42152,9632,22560,20916,79.20208325,36.93161526,8549,36712,45261,25846,39000,6,70.2,65.9,4948144.232,832,193513.4207,617,831,6,4.5
2001-08-01,1.538819304,5.95,2.102693651,33562.42732,234.712,1937.889988,272.1251852,11922131.97,38370.92401,9129.107656,19226.52123,18746.15626,79.07713802,36.95754174,8549,36712,45261,25846,39000,6,69.8,65.7,4958170.813,903,204706.8538,1779,657,5.75,4.66
2001-09-01,1.5650705,5.5,1.439785227,33387.28371,231.2,1582.933342,281.7176,11945669.1,32964.4824,7198.48838,14147.39338,14375.66171,78.95762229,36.98445806,8549,36712,45261,25846,39000,6.2,69.4,65.1,4967847.577,733,191080.1446,1397,1364,5.25,3.5
2001-10-01,1.570276826,4.95,1.1,33488.85814,226.018,1646.376088,282.4422222,11961789,30039,5511,11177,11302,78.8471315,37.01144859,8549,36712,45261,25846,39000,6.6,69.4,64.8,4976879.116,796,192292.6357,1111,327,4.5,1.5
2001-11-01,1.593234182,4.375,1.120564686,33662.03678,227.81,1861.602859,275.1064,11970637.74,30033.10923,4207.377314,10710.34655,9854.790858,78.73829962,37.04031268,8549,36712,45261,25846,39000,7,70,65,4985867.533,839,196114.1061,1467,1273,4,2.25
