Month,Prime_Rate,Bank_of_Canada_Overnight_Rate,City_Tax_Rate,Education_Tax_Rate,City_Building_Fund,TotalProperty_Tax_Rate
2000-01,6.5,4.86,,,,
2000-02,6.75,5.25,,,,
2000-03,7,5.66,,,,
2000-04,7,5.66,,,,
2000-05,7.5,6.83,,,,
2000-06,7.5,6.83,,,,
2000-07,7.5,6.83,,,,
2000-08,7.5,6.83,,,,
2000-09,7.5,6.83,,,,
2000-10,7.5,6.83,,,,
2000-11,7.5,6.83,,,,
2000-12,7.5,6.83,,,,
2001-01,7.25,7.11,,,,
2001-02,7.25,7.11,,,,
2001-03,6.75,5.25,,,,
2001-04,6.5,4.86,,,,
2001-05,6.25,5.44,,,,
2001-06,6.25,5.44,,,,
2001-07,6,4.5,,,,
2001-08,5.75,4.66,,,,
2001-09,5.25,3.5,,,,
2001-10,4.5,1.5,,,,
2001-11,4,2.25,,,,
2001-12,4,2.25,,,,
2002-01,3.75,2,,,,
2002-02,3.75,2,,,,
2002-03,3.75,2,,,,
2002-04,4,2.25,,,,
2002-05,4,2.25,,,,
2002-06,4.25,2.5,,,,
2002-07,4.5,1.5,,,,
2002-08,4.5,1.5,,,,
2002-09,4.5,1.5,,,,
2002-10,4.5,1.5,,,,
2002-11,4.5,1.5,,,,
2002-12,4.5,1.5,,,,
2003-01,4.5,1.5,,,,
2003-02,4.5,1.5,,,,
2003-03,4.75,3,,,,
2003-04,5,2.5,,,,
2003-05,5,2.5,,,,
2003-06,5,2.5,,,,
2003-07,4.75,3,,,,
2003-08,4.75,3,,,,
2003-09,4.5,1.5,,,,
2003-10,4.5,1.5,,,,
2003-11,4.5,1.5,,,,
2003-12,4.5,1.5,,,,
2004-01,4.25,2.5,,,,
2004-02,4.25,2.5,,,,
2004-03,4,2.25,,,,
2004-04,3.75,2,,,,
2004-05,3.75,2,,,,
2004-06,3.75,2,,,,
2004-07,3.75,2,,,,
2004-08,3.75,2,,,,
2004-09,4,2.25,,,,
2004-10,4.25,2.5,,,,
2004-11,4.25,2.5,,,,
2004-12,4.25,2.5,,,,
2005-01,4.25,2.5,,,,
