Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Total_Enrolment,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Exchange Rate_Change_Rate,Prime_Rate_Change_Rate,GDP_Change_Rate,W.MTLS_Change_Rate,Gold_Price_in_USD_Change_Rate,Ontario_population_Change_Rate,Ontario_Immigrants_International_Change_Rate,Ontario_Emigrants_International_Change_Rate,Ontario_In_migrant_Interprovincial_Change_Rate,Ontario_Out_migrant_Interprovincial_Change_Rate,UT_Graduate_Enrolment_Change_Rate,UT_Undergraduate_Enrolment_Change_Rate,Ryerson_Total_Enrolment_Change_Rate,York_Total_Enrolment_Change_Rate,Toronto_population_Change_Rate,Sales_Total_Change_Rate,Avg_Price_Month_Change_Rate
2001-01-01,1.502559091,7.4,2.8,33393.91068,262.182,2641.687163,265.2966667,34801.0,3144.0,15176.0,11129.0,80.04,36.8,45261,68.6,65.0,4882618.0,528,185757.6686,1457,511,,,,,,,,,,,,,,,,,
2001-02-01,1.5219806999999999,7.25,3.274301953,33414.60595,258.25,2474.819966,261.3108,37662.09142,2596.931225,17272.33196,11735.03833,79.88335352,36.82014705,45261,68.6,64.2,4894687.054,732,189990.7036,946,227,0.012925687,-0.02027027,0.000619732,-0.014997216,-0.015024187,0.0014680239999999998,0.082212908,-0.17400406300000001,0.138134683,0.054455776,0.0,0.0,0.0,0.0,0.0024718410000000002,0.386363636,0.022787942000000002
2001-03-01,1.557831545,6.75,3.5231908410000004,33421.15412,250.7975,1999.3631870000002,262.5739286,39796.62476,2862.3090030000003,19017.66529,12893.305,79.74653314,36.83919517,45261,69.0,64.7,4905287.46,925,191476.2205,1015,387,0.023555387999999997,-0.068965517,0.00019596700000000002,-0.028857696000000002,0.004833817,0.001461975,0.056675910999999995,0.10218899,0.101047927,0.09870156699999999,0.0,0.0,0.0,0.0,0.002165696,0.263661202,0.007818893
2001-04-01,1.5586287369999998,6.625,3.6,33411.957969999996,247.6,1929.5815120000002,260.07380950000004,41662.0,3997.0,20786.0,14852.0,79.60022022,36.86122612,45261,69.2,65.0,4916690.735,836,189802.6914,1503,1151,0.000511731,-0.018518519,-0.000275159,-0.01274933,-0.009521581,0.001768772,0.046872699999999996,0.39642505299999997,0.092983796,0.151915665,0.0,0.0,0.0,0.0,0.00232469,-0.096216216,-0.008740141
2001-05-01,1.5412870909999998,6.45,3.475476383,33549.86515,254.80200000000002,2178.740467,271.7556,42969.071560000004,5936.427697,22333.20337,17424.2094,79.46379667,36.88348887,45261,69.6,65.4,4927393.091,958,191658.3372,1810,175,-0.01112622,-0.026415094,0.00412748,0.029087237000000002,0.044917212000000005,0.0018610270000000001,0.031373231,0.48522084,0.074434878,0.17318942899999998,0.0,0.0,0.0,0.0,0.00217674,0.145933014,0.00977671
2001-06-01,1.5255614290000001,6.25,3.15070854,33500.662000000004,247.9125,2110.6643010000003,270.2369231,43577.08226,8484.951339,23481.41606,20341.47063,79.32816759,36.90746758,45261,69.7,65.3,4938108.018999999,1024,193900.3486,1928,411,-0.010202942,-0.031007752000000003,-0.001466568,-0.027038642,-0.005588391999999999,0.002056601,0.014149961,0.429302566,0.051412808,0.16742574400000002,0.0,0.0,0.0,0.0,0.002174563,0.068893528,0.011697958999999999
2001-07-01,1.528156864,6.125,2.7,33336.943960000004,240.2525,2039.163795,267.1369231,42152.0,9632.0,22560.0,20916.0,79.20208325,36.93161526,45261,70.2,65.9,4948144.232,832,193513.4207,617,831,0.001701298,-0.02,-0.004887009,-0.030897998,-0.011471415,0.00200515,-0.032702563,0.135186239,-0.039240225,0.02824424,0.0,0.0,0.0,0.0,0.002032401,-0.1875,-0.001995499
2001-08-01,1.538819304,5.95,2.102693651,33562.427319999995,234.71200000000002,1937.889988,272.1251852,38370.92401,9129.107656,19226.521230000002,18746.15626,79.07713802,36.95754174,45261,69.8,65.7,4958170.813,903,204706.8538,1779,657,0.006977321,-0.028571429,0.006763768000000001,-0.023061154,0.018673053999999998,0.002067485,-0.089700987,-0.052210584000000004,-0.147760584,-0.10374085599999999,0.0,0.0,0.0,0.0,0.002026331,0.085336538,0.057843188
2001-09-01,1.5650705,5.5,1.4397852269999998,33387.28371,231.2,1582.933342,281.7176,32964.4824,7198.48838,14147.393380000001,14375.66171,78.95762229,36.98445806,45261,69.4,65.1,4967847.577,733,191080.1446,1397,1364,0.01705931,-0.075630252,-0.005218443,-0.014963019,0.035250007,0.0019742379999999997,-0.14089943800000002,-0.211479517,-0.264173003,-0.23314083600000002,0.0,0.0,0.0,0.0,0.00195168,-0.18826135100000002,-0.066566942
2001-10-01,1.570276826,4.95,1.1,33488.85814,226.018,1646.376088,282.4422222,30039.0,5511.0,11177.0,11302.0,78.84713149999999,37.01144859,45261,69.4,64.8,4976879.116,796,192292.6357,1111,327,0.003326576,-0.1,0.0030423090000000004,-0.022413495,0.0025721579999999997,0.001349435,-0.088746499,-0.23442260199999998,-0.209960471,-0.213810103,0.0,0.0,0.0,0.0,0.001817998,0.08594815800000001,0.006345458000000001
