Month,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Undergraduate_Enrolment, Ryerson_Graduate_Enrolment , Ryerson_Total_Enrolment , York_Total_Enrolment  ,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population
1998-01-01,11292059,23017,3805,16785,14555,91.83,,,,,,,,,,,,
1998-02-01,,,,,,,,,,,,,,,,,,
1998-03-01,,,,,,,,,,,,,,,,,,
1998-04-01,11322038,24818,4946,21690,18455,,,,,,,,,,,,,
1998-05-01,,,,,,,,,,,,,,,,,,
1998-06-01,,,,,,,,,,,,,,,,,,
1998-07-01,11365901,24834,8651,22435,18428,,,,,,,,,,,,,
1998-08-01,,,,,,,,,,,,,,,,,,
1998-09-01,,,,,,,,,,,,,,,,,,
1998-10-01,11408804,19677,4505,12512,10518,,,,,,,,,,,,,
1998-11-01,,,,,,,,,,,,,,,,,,
1998-12-01,,,,,,,,,,,,,,,,,,
1999-01-01,11419589,21111,3215,15384,11037,81.93,,,,,,,,,,,,
1999-02-01,,,,,,,,,,,,,,,,,,
1999-03-01,,,,,,,,,,,,,,,,,,
1999-04-01,11452857,26277,4590,22490,14435,,,,,,,,,,,,,
1999-05-01,,,,,,,,,,,,,,,,,,
1999-06-01,,,,,,,,,,,,,,,,,,
1999-07-01,11504759,30234,8195,23946,18435,,,,,,,,,,,,,
1999-08-01,,,,,,,,,,,,,,,,,,
1999-09-01,,,,,,,,,,,,,,,,,,
1999-10-01,11559464,26543,4712,12414,10206,,,,,,,,,,,,,
1999-11-01,,,,,,,,,,,,,,,,,,
1999-12-01,,,,,,,,,,,,,,,,,,
2000-01-01,11576994,25413,3417,18609,12238,79.08,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,
2000-04-01,11621255,34554,4623,23934,15655,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,
2000-07-01,11683290,39990,8047,25327,19261,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,
2000-10-01,11748348,33545,4438,13227,10651,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,
2001-01-01,11771945,34801,3144,15176,11129,80.04,36.80,8549,36712,45261,,,,,5.30,68.60,65.00,4882618
2001-02-01,,,,,,,,8549,36712,45261,,,,,6.40,68.60,64.20,
2001-03-01,,,,,,,,8549,36712,45261,,,,,6.30,69.00,64.70,
2001-04-01,11827345,41662,3997,20786,14852,,,8549,36712,45261,,,,,6.20,69.20,65.00,
2001-05-01,,,,,,,,8549,36712,45261,,,,,6.10,69.60,65.40,
2001-06-01,,,,,,,,8549,36712,45261,,,,,6.30,69.70,65.30,
2001-07-01,11897534,42152,9632,22560,20916,,,8549,36712,45261,,,,,6.00,70.20,65.90,
2001-08-01,,,,,,,,8549,36712,45261,,,,,6.00,69.80,65.70,
2001-09-01,,,,,,,,8549,36712,45261,,,,,6.20,69.40,65.10,
2001-10-01,11961789,30039,5511,11177,11302,,,8549,36712,45261,,,,,6.60,69.40,64.80,
2001-11-01,,,,,,,,8549,36712,45261,,,,,7.00,70.00,65.00,
2001-12-01,,,,,,,,8549,36712,45261,,,,,7.20,70.20,65.20,
