Date,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete)
2000-01-01,420,168217.0714,0,0
2000-02-01,650,180337.6431,0,0
2000-03-01,650,180337.6431,0,0
2000-04-01,800,181778.4475,0,0
2000-05-01,820,183572.3988,0,0
2000-06-01,757,180980.3329,0,0
2000-07-01,757,180980.3329,0,0
2000-08-01,820,179060.0537,0,0
2000-09-01,738,187858.2073,0,0
2000-10-01,779,182625.0847,0,0
2000-11-01,747,186574.1954,0,0
2000-12-01,480,180682.5833,578,996
2001-01-01,528,185757.6686,1457,511
2001-02-01,732,189990.7036,946,227
2001-03-01,925,191476.2205,1015,387
2001-04-01,836,189802.6914,1503,1151
2001-05-01,958,191658.3372,1810,175
2001-06-01,1024,193900.3486,1928,411
2001-07-01,832,193513.4207,617,831
2001-08-01,903,204706.8538,1779,657
2001-09-01,733,191080.1446,1397,1364
2001-10-01,796,192292.6357,1111,327
2001-11-01,839,196114.1061,1467,1273
2001-12-01,655,193162.7985,1230,80
2002-01-01,732,196438.8825,2152,1474
2002-02-01,957,208220.7482,787,1246
2002-03-01,1099,206571.384,1293,1589
2002-04-01,1183,219488.6002,1020,904
2002-05-01,1115,218748.3372,1243,916
2002-06-01,940,214305.2351,294,863
2002-07-01,617,215936.6904,1444,1490
2002-08-01,765,208338.9516,1101,1272
2002-09-01,780,215612.8782,691,1024
2002-10-01,950,218940.0189,1000,1033
2002-11-01,845,218089.4225,2214,1704
2002-12-01,623,214842.7287,551,2448
2003-01-01,638,223692.1834,665,870
2003-02-01,851,221466.6122,3621,1077
2003-03-01,999,219933.4695,1552,859
2003-04-01,1047,220042.4852,1207,1805
2003-05-01,1039,228105.3301,948,1430
2003-06-01,1045,216460.5493,1207,1066
2003-07-01,1152,220006.5382,1112,677
2003-08-01,1005,223219.6517,1712,832
2003-09-01,953,221429.2214,1534,1389
2003-10-01,957,217635.2414,3287,1472
2003-11-01,844,224552.1078,768,391
2003-12-01,728,217241.456,1247,1260
2004-01-01,625,221502.3744,517,1489
2004-02-01,887,221989.0113,412,586
2004-03-01,1313,225317.904,1702,829
2004-04-01,1244,228128.8199,2041,1273
2004-05-01,1193,241201.0243,978,1641
2004-06-01,1258,231930.4555,1869,2050
2004-07-01,1091,228362.8973,762,893
2004-08-01,1033,225848.5992,3438,760
2004-09-01,932,224065.0075,1601,1380
2004-10-01,900,238120.0933,2174,2070
2004-11-01,1000,235626.733,1703,1210
2004-12-01,703,239119.6999,1018,395
2005-01-01,601,230779.2962,491,965
2005-02-01,874,234769.4691,914,1297
2005-03-01,1129,242998.5226,1888,3826
2005-04-01,1249,233664.3395,2060,146
2005-05-01,1283,244013.9564,803,1193
2005-06-01,1308,241869.6636,2909,1417
2005-07-01,1110,245632.809,3500,1720
2005-08-01,1124,237292.9742,982,2480
2005-09-01,1150,241379.0557,922,357
2005-10-01,1040,246403.4827,982,841
2005-11-01,1079,232161.8406,2228,1552
2005-12-01,743,244749.362,1868,1277
2006-01-01,729,253418.166,1157,3171
2006-02-01,1010,259515.5455,920,1392
2006-03-01,1348,256038.7819,1837,1400
2006-04-01,1193,249838.8458,1666,1442
2006-05-01,1363,258012.9545,1963,1771
2006-06-01,1284,251530.9182,2455,776
2006-07-01,1161,250620.7752,2928,2330
2006-08-01,1139,250199.935,1448,1846
2006-09-01,1011,249715.1929,943,1071
2006-10-01,1132,251892.3207,1928,1306
2006-11-01,1059,254158.8725,1639,469
2006-12-01,763,252814.6881,866,1126
2007-01-01,824,262393.5643,1192,3080
2007-02-01,1020,269456.0098,497,634
2007-03-01,1344,272016.532,746,574
2007-04-01,1390,271089.5547,1019,818
2007-05-01,1611,275813.0043,1564,446
2007-06-01,1561,276792.9962,1112,985
2007-07-01,1463,270624.285,1465,1752
2007-08-01,1404,272197.4687,1189,536
2007-09-01,1138,294180.6977,2329,930
2007-10-01,1324,292034.6307,1821,804
2007-11-01,1373,297651.134,1463,1516
2007-12-01,946,298944.24,278,872
2008-01-01,924,284193.3496,1455,718
2008-02-01,973,283936.036,2187,2525
2008-03-01,1117,288849.2462,2561,1796
2008-04-01,1371,295366.6907,2847,1582
2008-05-01,1462,296104.1553,1826,1752
