"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","91.83","","","","2"
"1999","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","81.93","","","","2"
"2000","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","79.08","","","","2"
"2001","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","80.04","","","","2"
"2002","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","78.54","","","","2"
"2003","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","77.02","","","","2"
"2004","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","72.32","","","","2"
"2005","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","71.97","","","","2"
"2006","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","73.21","","","","2"
"2007","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","70.74","","","","2"
"2008","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","67.01","","","","2"
"2009","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","64.31","","","","2"
"2010","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","60.26","","","","2"
"2011","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","56.07","","","","2"
"2012","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","52.74","","","","2"
"2013","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","47.12","","","","2"
"2014","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","45.07","","","","2"
"2015","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","46.16","","","","2"
"2016","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","47.88","","","","2"
"2017","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","49.78","","","","2"
"2018","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","53.72","","","","2"
"2019","Toronto, Ontario [35535]","2011S0503535","Crime severity index","Index","160","units","0","v44312569","19.1","54.18","","","","2"


