"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001-01","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3847.7","","","","1"
"2001-02","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3855.3","","","","1"
"2001-03","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3863.8","","","","1"
"2001-04","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3874.7","","","","1"
"2001-05","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3884.0","","","","1"
"2001-06","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3893.0","","","","1"
"2001-07","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3904.1","","","","1"
"2001-08","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3912.9","","","","1"
"2001-09","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3921.0","","","","1"
"2001-10","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3928.9","","","","1"
"2001-11","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3936.6","","","","1"
"2001-12","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3943.8","","","","1"
"2002-01","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3954.0","","","","1"
"2002-02","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3962.0","","","","1"
"2002-03","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3970.8","","","","1"
"2002-04","Toronto, Ontario","2011S050335535","Population","Estimate","Seasonally adjusted","Persons","249","thousands","3","v91504716","2.1.1.1","3981.7","","","","1"
