"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","644197","","","","0"
"1972","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","638119","","","","0"
"1973","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","637119","","","","0"
"1974","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","634894","","","","0"
"1975","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","629165","","","","0"
"1976","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","614350","","","","0"
"1977","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","609860","","","","0"
"1978","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","607551","","","","0"
"1979","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","605594","","","","0"
"1980","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","601363","","","","0"
"1981","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","599974","","","","0"
"1982","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","605348","","","","0"
"1983","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","615949","","","","0"
"1984","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","626384","","","","0"
"1985","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","636811","","","","0"
"1986","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","645773","","","","0"
"1987","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","664257","","","","0"
"1988","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","679551","","","","0"
"1989","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","699130","","","","0"
"1990","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","719457","","","","0"
"1991","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","732683","","","","0"
"1992","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","749043","","","","0"
"1993","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","758211","","","","0"
"1994","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","760050","","","","0"
"1995","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","756148","","","","0"
"1996","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","754173","","","","0"
"1997","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","740561","","","","0"
"1998","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","728431","","","","0"
"1999","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","716675","","","","0"
"2000","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","708739","","","","0"
"2001","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","702270","","","","0"
"2002","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","690420","","","","0"
"2003","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","680378","","","","0"
"2004","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","679461","","","","0"
"2005","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","681077","","","","0"
"2006","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","688154","","","","0"
"2007","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","690624","","","","0"
"2008","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","698506","","","","0"
"2009","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","703657","","","","0"
"2010","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","711568","","","","0"
"2011","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","718272","","","","0"
"2012","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","720004","","","","0"
"2013","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","718359","","","","0"
"2014","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","716119","","","","0"
"2015","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","713667","","","","0"
"2016","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","718208","","","","0"
"2017","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","717013","","","","0"
"2018","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","719275","","","","0"
"2019","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","720671","","","","0"
"2020","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","723016","","","","0"
"1971","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","788128","","","","0"
"1972","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","762785","","","","0"
