"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23682","","","","0"
"1961-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23012","","","","0"
"1962-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15489","","","","0"
"1962-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15080","","","","0"
"1962-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","25772","","","","0"
"1962-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","27316","","","","0"
"1963-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16321","","","","0"
"1963-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18922","","","","0"
"1963-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","30157","","","","0"
"1963-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","27299","","","","0"
"1964-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17141","","","","0"
"1964-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17499","","","","0"
"1964-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","32553","","","","0"
"1964-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","27227","","","","0"
"1965-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22836","","","","0"
"1965-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19164","","","","0"
"1965-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","33427","","","","0"
"1965-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","33587","","","","0"
"1966-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22094","","","","0"
"1966-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21572","","","","0"
"1966-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","38357","","","","0"
"1966-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","35093","","","","0"
