"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951-07","Ontario","2016A000235","Persons","249","units","0","v12","7","4615000","","","","0"
"1951-10","Ontario","2016A000235","Persons","249","units","0","v12","7","4665000","","","","0"
"1952-01","Ontario","2016A000235","Persons","249","units","0","v12","7","4717000","","","","0"
"1952-04","Ontario","2016A000235","Persons","249","units","0","v12","7","4757000","","","","0"
"1952-07","Ontario","2016A000235","Persons","249","units","0","v12","7","4802000","","","","0"
"1952-10","Ontario","2016A000235","Persons","249","units","0","v12","7","4841000","","","","0"
"1953-01","Ontario","2016A000235","Persons","249","units","0","v12","7","4876000","","","","0"
"1953-04","Ontario","2016A000235","Persons","249","units","0","v12","7","4907000","","","","0"
"1953-07","Ontario","2016A000235","Persons","249","units","0","v12","7","4956000","","","","0"
"1953-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5002000","","","","0"
"1954-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5047000","","","","0"
"1954-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5082000","","","","0"
"1954-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5130000","","","","0"
"1954-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5174000","","","","0"
"1955-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5208000","","","","0"
"1955-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5236000","","","","0"
"1955-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5278000","","","","0"
"1955-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5311000","","","","0"
"1956-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5344000","","","","0"
"1956-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5375000","","","","0"
"1956-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5423000","","","","0"
"1956-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5470000","","","","0"
"1957-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5529000","","","","0"
"1957-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5580000","","","","0"
"1957-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5668000","","","","0"
"1957-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5722000","","","","0"
"1958-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5759000","","","","0"
"1958-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5789000","","","","0"
"1958-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5835000","","","","0"
"1958-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5874000","","","","0"
"1959-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5907000","","","","0"
"1959-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5938000","","","","0"
"1959-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5985000","","","","0"
"1959-10","Ontario","2016A000235","Persons","249","units","0","v12","7","6020000","","","","0"
"1960-01","Ontario","2016A000235","Persons","249","units","0","v12","7","6054000","","","","0"
"1960-04","Ontario","2016A000235","Persons","249","units","0","v12","7","6083000","","","","0"
"1960-07","Ontario","2016A000235","Persons","249","units","0","v12","7","6127000","","","","0"
"1960-10","Ontario","2016A000235","Persons","249","units","0","v12","7","6158000","","","","0"
"1961-01","Ontario","2016A000235","Persons","249","units","0","v12","7","6187000","","","","0"
"1961-04","Ontario","2016A000235","Persons","249","units","0","v12","7","6214000","","","","0"
"1961-07","Ontario","2016A000235","Persons","249","units","0","v12","7","6248000","","","","0"
"1961-10","Ontario","2016A000235","Persons","249","units","0","v12","7","6275000","","","","0"
