Date,Area_Code,Total_Condo_Sold_Number,Avg_Price,Med_Price
2000-01-01,E04,8,119767,125500
2000-01-01,W09,14,127000,93000
2000-01-01,W08,15,220260,161000
2000-01-01,W07,2,181500,181500
2000-01-01,W06,8,306000,201500
2000-01-01,W05,16,99006,99800
2000-01-01,W04,12,99792,102750
2000-01-01,W03,2,155500,155500
2000-01-01,W02,1,261000,261000
2000-01-01,W01,7,173700,168000
2000-01-01,E11,13,107577,103000
2000-01-01,E10,2,90750,90750
2000-01-01,E09,17,147871,151000
2000-01-01,E08,15,123093,119900
2000-01-01,E07,28,131550,127250
2000-01-01,E06,2,164250,164250
2000-01-01,E05,34,167962,146750
2000-01-01,E03,17,113529,110000
2000-01-01,C03,1,289000,289000
2000-01-01,C04,8,249825,211750
2000-01-01,C06,1,144000,144000
2000-01-01,C07,14,185786,181000
2000-01-01,C08,28,177507,175400
2000-01-01,C09,2,214500,214500
2000-01-01,W10,31,114566,118000
2000-01-01,C10,5,197400,228000
2000-01-01,C12,2,298064,298063
2000-01-01,C13,7,184071,190000
2000-01-01,C14,29,203876,200000
2000-01-01,C15,9,218806,210000
2000-01-01,E01,0,0,0
2000-01-01,E02,0,0,0
2000-01-01,C11,17,136106,133000
2000-01-01,C02,11,255673,221500
2000-01-01,C01,42,232738,183500
2000-02-01,W10,26,119710,123000
2000-02-01,E01,1,1000001,1000001
2000-02-01,C15,19,239242,163000
2000-02-01,C14,29,214822,218800
2000-02-01,C13,15,185293,174000
2000-02-01,C12,4,400225,280450
2000-02-01,C11,11,120905,133500
2000-02-01,E02,1,162000,162000
2000-02-01,C10,10,231890,200000
2000-02-01,C08,74,181509,163750
2000-02-01,C07,20,200020,176500
2000-02-01,C06,1,131000,131000
2000-02-01,C04,11,189723,160000
2000-02-01,C03,6,358667,341000
2000-02-01,C02,17,337006,260000
2000-02-01,C09,6,383833,224500
2000-02-01,E03,37,124641,120000
2000-02-01,C01,77,248856,185000
2000-02-01,E05,29,177317,162500
2000-02-01,W09,22,148868,119500
2000-02-01,W08,25,152742,141500
2000-02-01,W07,1,179000,179000
2000-02-01,W06,15,246473,234500
2000-02-01,E04,18,110256,116000
2000-02-01,W04,17,103888,103000
2000-02-01,W03,5,155700,148000
2000-02-01,W05,27,97913,103000
2000-02-01,W01,16,159619,151500
2000-02-01,E11,22,127795,126000
2000-02-01,E10,4,113375,108000
2000-02-01,E09,22,137313,137750
2000-02-01,E08,17,123412,123000
2000-02-01,E07,39,138750,137300
2000-02-01,E06,6,149808,153500
2000-02-01,W02,0,0,0
2000-04-01,E08,35,132174,128800
2000-04-01,E09,28,155150,166000
2000-04-01,E10,1,97000,97000
2000-04-01,E11,32,119838,126250
2000-04-01,W01,16,159619,155503
2000-04-01,W02,4,245250,255500
2000-04-01,W10,44,119166,119250
2000-04-01,W04,23,111404,115000
2000-04-01,W05,34,96503,97050
2000-04-01,W06,24,232446,202950
2000-04-01,W07,4,177500,182500
2000-04-01,W08,39,206408,185000
2000-04-01,W09,32,127244,106000
2000-04-01,E07,27,142973,139500
2000-04-01,W03,9,160500,167500
2000-04-01,E06,3,175750,168000
2000-04-01,C02,17,394953,328000
2000-04-01,E04,18,119456,121100
2000-04-01,C01,88,216080,191000
2000-04-01,C03,5,338200,327000
2000-04-01,C04,20,275758,227500
2000-04-01,C06,1,129500,129500
2000-04-01,C07,12,203917,196500
2000-04-01,C08,76,198259,181500
2000-04-01,E05,46,160680,157500
2000-04-01,C09,6,381517,419650
2000-04-01,C11,18,148111,126250
2000-04-01,C13,12,230625,223500
2000-04-01,C14,47,210809,201000
2000-04-01,C15,21,217300,155500
2000-04-01,E01,0,0,0
2000-04-01,E02,4,185700,207500
2000-04-01,C10,15,238493,220000
2000-04-01,C12,2,916450,916450
2000-04-01,E03,37,140230,126500
2000-05-01,W10,52,118807,117500
2000-05-01,C15,30,174318,150000
2000-05-01,C14,48,209881,209500
2000-05-01,C13,13,176577,160000
2000-05-01,C12,3,417000,409900
2000-05-01,C11,21,116300,106000
2000-05-01,C10,17,254389,233000
2000-05-01,E01,0,0,0
