Date,Sales_Total,Avg_Price_Month
1999-12-01,549,170357.50819672132
2000-01-01,420,168217.07142857142
2000-02-01,650,180337.64307692306
2000-03-01,0,0.0
2000-04-01,800,181778.4475
2000-05-01,820,183572.3987804878
2000-06-01,757,180980.33289299867
2000-07-01,0,0.0
2000-08-01,820,179060.05365853658
2000-09-01,738,187858.20731707316
2000-10-01,779,182625.08472400514
2000-11-01,747,186574.19544846052
2000-12-01,480,180682.58333333334
2001-01-01,528,185757.66856060605
2001-02-01,732,189990.70355191256
2001-03-01,925,191476.22054054055
2001-04-01,836,189802.6913875598
2001-05-01,958,191658.33716075157
2001-06-01,1024,193900.3486328125
2001-07-01,832,193513.42067307694
2001-08-01,903,204706.85382059801
2001-09-01,733,191080.1446111869
2001-10-01,796,192292.63567839196
2001-11-01,839,196114.10607866506
2001-12-01,655,193162.79847328246
2002-01-01,732,196438.8825136612
2002-02-01,957,208220.74817136885
2002-03-01,1099,206571.38398544132
2002-04-01,1183,219488.6001690617
2002-05-01,1115,218748.33721973095
2002-06-01,940,214305.23510638298
2002-07-01,617,215936.6904376013
2002-08-01,765,208338.95163398693
2002-09-01,780,215612.87820512822
2002-10-01,950,218940.01894736843
2002-11-01,845,218089.4224852071
2002-12-01,623,214842.72873194222
2003-01-01,638,223692.18338557993
2003-02-01,851,221466.61222091658
2003-03-01,999,219933.46946946948
2003-04-01,1047,220042.48519579752
2003-05-01,1039,228105.3301251203
2003-06-01,1045,216460.54928229665
2003-07-01,1152,220006.53819444444
2003-08-01,1005,223219.65174129352
2003-09-01,953,221429.22140608606
2003-10-01,957,217635.24137931035
2003-11-01,844,224552.1078199052
2003-12-01,728,217241.45604395604
2004-01-01,625,221502.3744
2004-02-01,887,221989.01127395715
2004-03-01,1313,225317.9040365575
2004-04-01,1244,228128.8199356913
2004-05-01,1193,241201.02430846606
2004-06-01,1258,231930.45548489667
2004-07-01,1091,228362.89734188817
2004-08-01,1033,225848.59922555662
2004-09-01,932,224065.0075107296
2004-10-01,900,238120.09333333332
2004-11-01,1000,235626.733
2004-12-01,703,239119.69985775248
2005-01-01,601,230779.29617304492
2005-02-01,874,234769.4691075515
2005-03-01,1129,242998.5225863596
2005-04-01,1249,233664.33947157726
2005-05-01,1283,244013.9563522993
2005-06-01,1308,241869.6636085627
2005-07-01,1110,245632.809009009
2005-08-01,1124,237292.97419928826
2005-09-01,1150,241379.0556521739
2005-10-01,1040,246403.4826923077
2005-11-01,1079,232161.8405931418
2005-12-01,743,244749.36204576044
2006-01-01,729,253418.1659807956
2006-02-01,1010,259515.54554455445
2006-03-01,1348,256038.7818991098
2006-04-01,1193,249838.845766974
2006-05-01,1363,258012.95451210564
2006-06-01,1284,251530.91822429906
2006-07-01,1161,250620.77519379844
2006-08-01,1139,250199.9350307287
2006-09-01,1011,249715.19287833828
2006-10-01,1132,251892.32067137808
2006-11-01,1059,254158.87252124646
2006-12-01,763,252814.6880733945
2007-01-01,824,262393.56432038837
2007-02-01,1020,269456.00980392157
2007-03-01,1344,272016.53199404763
2007-04-01,1390,271089.554676259
2007-05-01,1611,275813.00434512726
2007-06-01,1561,276792.9961563101
2007-07-01,1463,270624.2850307587
2007-08-01,1404,272197.46866096865
2007-09-01,1138,294180.69771529
2007-10-01,1324,292034.63066465256
