Date,Area_Code,Total_Condo_Sold_Number,Avg_Price,New_Units_Number_construction_complete
2001-01-01,All,528.0,185757.6686,511.0
2001-02-01,All,732.0,189990.7036,227.0
2001-03-01,All,925.0,191476.2205,387.0
2001-04-01,All,836.0,189802.6914,1151.0
2001-05-01,All,958.0,191658.3372,175.0
2001-06-01,All,1024.0,193900.3486,411.0
2001-07-01,All,832.0,193513.4207,831.0
2001-08-01,All,903.0,204706.8538,657.0
2001-09-01,All,733.0,191080.1446,1364.0
2001-10-01,All,796.0,192292.6357,327.0
2001-11-01,All,839.0,196114.1061,1273.0
2001-12-01,All,655.0,193162.7985,80.0
2002-01-01,All,732.0,196438.8825,1474.0
2002-02-01,All,957.0,208220.7482,1246.0
2002-03-01,All,1099.0,206571.384,1589.0
2002-04-01,All,1183.0,219488.6002,904.0
2002-05-01,All,1115.0,218748.3372,916.0
2002-06-01,All,940.0,214305.2351,863.0
2002-07-01,All,617.0,215936.6904,1490.0
2002-08-01,All,765.0,208338.9516,1272.0
2002-09-01,All,780.0,215612.8782,1024.0
2002-10-01,All,950.0,218940.0189,1033.0
2002-11-01,All,845.0,218089.4225,1704.0
2002-12-01,All,623.0,214842.7287,2448.0
2003-01-01,All,638.0,223692.1834,870.0
2003-02-01,All,851.0,221466.6122,1077.0
2003-03-01,All,999.0,219933.4695,859.0
2003-04-01,All,1047.0,220042.4852,1805.0
2003-05-01,All,1039.0,228105.3301,1430.0
2003-06-01,All,1045.0,216460.5493,1066.0
2003-07-01,All,1152.0,220006.5382,677.0
2003-08-01,All,1005.0,223219.6517,832.0
2003-09-01,All,953.0,221429.2214,1389.0
2003-10-01,All,957.0,217635.2414,1472.0
2003-11-01,All,844.0,224552.1078,391.0
2003-12-01,All,728.0,217241.456,1260.0
2004-01-01,All,625.0,221502.3744,1489.0
2004-02-01,All,887.0,221989.0113,586.0
2004-03-01,All,1313.0,225317.904,829.0
2004-04-01,All,1244.0,228128.8199,1273.0
2004-05-01,All,1193.0,241201.0243,1641.0
2004-06-01,All,1258.0,231930.4555,2050.0
2004-07-01,All,1091.0,228362.8973,893.0
2004-08-01,All,1033.0,225848.5992,760.0
2004-09-01,All,932.0,224065.0075,1380.0
2004-10-01,All,900.0,238120.0933,2070.0
2004-11-01,All,1000.0,235626.733,1210.0
2004-12-01,All,703.0,239119.6999,395.0
2005-01-01,All,601.0,230779.2962,965.0
2005-02-01,All,874.0,234769.4691,1297.0
2005-03-01,All,1129.0,242998.5226,3826.0
2005-04-01,All,1249.0,233664.3395,146.0
2005-05-01,All,1283.0,244013.9564,1193.0
2005-06-01,All,1308.0,241869.6636,1417.0
2005-07-01,All,1110.0,245632.809,1720.0
2005-08-01,All,1124.0,237292.9742,2480.0
2005-09-01,All,1150.0,241379.0557,357.0
2005-10-01,All,1040.0,246403.4827,841.0
2005-11-01,All,1079.0,232161.8406,1552.0
2005-12-01,All,743.0,244749.362,1277.0
2006-01-01,All,729.0,253418.166,3171.0
2006-02-01,All,1010.0,259515.5455,1392.0
2006-03-01,All,1348.0,256038.7819,1400.0
2006-04-01,All,1193.0,249838.8458,1442.0
2006-05-01,All,1363.0,258012.9545,1771.0
2006-06-01,All,1284.0,251530.9182,776.0
2006-07-01,All,1161.0,250620.7752,2330.0
2006-08-01,All,1139.0,250199.935,1846.0
2006-09-01,All,1011.0,249715.1929,1071.0
2006-10-01,All,1132.0,251892.3207,1306.0
2006-11-01,All,1059.0,254158.8725,469.0
2006-12-01,All,763.0,252814.6881,1126.0
2007-01-01,All,824.0,262393.5643,3080.0
2007-02-01,All,1020.0,269456.0098,634.0
2007-03-01,All,1344.0,272016.532,574.0
2007-04-01,All,1390.0,271089.5547,818.0
2007-05-01,All,1611.0,275813.0043,446.0
2007-06-01,All,1561.0,276792.9962,985.0
2007-07-01,All,1463.0,270624.285,1752.0
2007-08-01,All,1404.0,272197.4687,536.0
2007-09-01,All,1138.0,294180.6977,930.0
2007-10-01,All,1324.0,292034.6307,804.0
2007-11-01,All,1373.0,297651.134,1516.0
2007-12-01,All,946.0,298944.24,872.0
2008-01-01,All,924.0,284193.3496,718.0
2008-02-01,All,973.0,283936.036,2525.0
2008-03-01,All,1117.0,288849.2462,1796.0
2008-04-01,All,1371.0,295366.6907,1582.0
2008-05-01,All,1462.0,296104.1553,1752.0
2008-06-01,All,1365.0,297700.7766,2160.0
2008-07-01,All,1351.0,297018.5396,987.0
2008-08-01,All,1149.0,285999.9243,472.0
2008-09-01,All,1058.0,288207.7949,1984.0
2008-10-01,All,956.0,274819.0847,1072.0
2008-11-01,All,622.0,266543.2283,2333.0
2008-12-01,All,494.0,266159.1862,2280.0
2009-01-01,All,479.0,257618.9666,910.0
2009-02-01,All,681.0,267550.0573,2368.0
2009-03-01,All,986.0,277731.0558,908.0
2009-04-01,All,1302.0,286062.371,2682.0
2009-05-01,All,1529.0,281881.7351,2652.0
2009-06-01,All,1752.0,304015.411,1412.0
2009-07-01,All,1675.0,302291.4412,902.0
2009-08-01,All,1390.0,300939.4496,503.0
2009-09-01,All,1423.0,315820.3443,797.0
2009-10-01,All,1417.0,323766.0134,1103.0
2009-11-01,All,1343.0,317861.9173,1904.0
2009-12-01,All,1118.0,321804.8658,1836.0
2010-01-01,All,931.0,310811.9527,1960.0
2010-02-01,All,1289.0,334339.1032,774.0
2010-03-01,All,1714.0,327584.4212,934.0
2010-04-01,All,1781.0,325237.9882,2121.0
2010-05-01,All,1535.0,340555.6,721.0
2010-06-01,All,1432.0,332991.9232,3030.0
2010-07-01,All,1108.0,332094.3132,2856.0
2010-08-01,All,1143.0,330952.196,2572.0
2010-09-01,All,1089.0,329329.8595,2049.0
2010-10-01,All,1169.0,337753.6972,2001.0
2010-11-01,All,1253.0,340879.7829,1739.0
2010-12-01,All,892.0,342008.5404,1320.0
2011-01-01,All,805.0,327867.882,2197.0
2011-02-01,All,1158.0,355614.5363,2215.0
2011-03-01,All,1645.0,352319.9009,921.0
2011-04-01,All,1427.0,351763.2761,1149.0
2011-05-01,All,1575.0,355347.393,1905.0
2011-06-01,All,1746.0,358880.921,4778.0
2011-07-01,All,1452.0,353189.0716,1822.0
2011-08-01,All,1393.0,364437.2268,2064.0
2011-09-01,All,1355.0,350145.7255,2999.0
2011-10-01,All,1358.0,367714.7835,1045.0
2011-11-01,All,1337.0,364980.9843,1525.0
2011-12-01,All,943.0,351104.5069,1081.0
2012-01-01,All,775.0,343835.3535,2615.0
2012-02-01,All,1212.0,371333.7434,851.0
2012-03-01,All,1584.0,361800.3813,2344.0
2012-04-01,All,1534.0,360806.8357,889.0
2012-05-01,All,1632.0,368147.4161,2005.0
2012-06-01,All,1415.0,364597.2587,979.0
2012-07-01,All,1246.0,347996.5201,1476.0
2012-08-01,All,1072.0,349488.6045,1541.0
2012-09-01,All,934.0,377422.1595,1504.0
2012-10-01,All,1141.0,358740.4864,2373.0
2012-11-01,All,987.0,350539.8055,1377.0
2012-12-01,All,680.0,342846.95,1764.0
2013-01-01,All,730.0,340295.2521,1479.0
2013-02-01,All,942.0,355104.189,1832.0
2013-03-01,All,1266.0,367594.6177,1245.0
2013-04-01,All,1455.0,382668.2591,3780.0
2013-05-01,All,1499.0,372767.7872,3572.0
2013-06-01,All,1312.0,369106.3971,1298.0
2013-07-01,All,1332.0,365184.7725,1357.0
2013-08-01,All,1280.0,357571.9953,589.0
2013-09-01,All,1183.0,366501.4818,1451.0
2013-10-01,All,1347.0,384441.3987,1549.0
2013-11-01,All,1081.0,385968.3867,1569.0
2013-12-01,All,799.0,367375.8936,2323.0
2014-01-01,All,767.0,366020.5137,1101.0
2014-02-01,All,1031.0,372627.6547,1518.0
2014-03-01,All,1331.0,384865.432,1579.0
2014-04-01,All,1505.0,384758.4159,2230.0
2014-05-01,All,1565.0,401809.0173,1804.0
2014-06-01,All,1578.0,390568.4791,2307.0
2014-07-01,All,1527.0,379001.8874,3227.0
2014-08-01,All,1344.0,370899.0089,923.0
2014-09-01,All,1376.0,395505.1235,927.0
2014-10-01,All,1455.0,390429.4784,2165.0
2014-11-01,All,1199.0,394225.0183,1199.0
2014-12-01,All,924.0,387611.5866,1830.0
2015-01-01,All,809.0,382458.4944,11080.0
2015-02-01,All,1153.0,369655.2567,4525.0
2015-03-01,All,1506.0,398336.5445,3699.0
2015-04-01,All,1706.0,407612.2145,2035.0
2015-05-01,All,1762.0,422947.0346,3428.0
2015-06-01,All,1906.0,418598.7408,3843.0
2015-07-01,All,1730.0,394503.6272,2459.0
2015-08-01,All,1475.0,406587.0217,1487.0
2015-09-01,All,1444.0,418602.8636,3348.0
2015-10-01,All,1587.0,406792.3296,1039.0
2015-11-01,All,1351.0,415315.8986,1454.0
2015-12-01,All,1038.0,400087.789,3429.0
2016-01-01,All,897.0,416103.8907,3077.0
2016-02-01,All,1439.0,435579.1946,1675.0
2016-03-01,All,1808.0,416250.7948,2280.0
2016-04-01,All,1997.0,436544.8097,752.0
2016-05-01,All,2137.0,442520.4792,2807.0
2016-06-01,All,2182.0,448001.901,1117.0
2016-07-01,All,1882.0,427074.3576,2604.0
2016-08-01,All,1964.0,446612.1197,2222.0
2016-09-01,All,1787.0,446293.8786,3522.0
2016-10-01,All,1895.0,459198.9166,3258.0
2016-11-01,All,1718.0,471255.8475,2323.0
2016-12-01,All,1238.0,466591.6502,2103.0
2017-01-01,All,1125.0,471409.2907,3505.0
2017-02-01,All,1632.0,515424.0901,2782.0
2017-03-01,All,2324.0,550299.4484,1743.0
2017-04-01,All,2148.0,578279.6443,2299.0
2017-05-01,All,2038.0,564807.5358,1296.0
2017-06-01,All,1702.0,552679.1163,1875.0
2017-07-01,All,1345.0,532501.9822,743.0
2017-08-01,All,1476.0,540168.769,2701.0
2017-09-01,All,1362.0,554068.9743,2627.0
2017-10-01,All,1485.0,555004.0182,2489.0
2017-11-01,All,1606.0,555395.6843,1759.0
2017-12-01,All,1125.0,532700.2853,1941.0
2018-01-01,All,899.0,543278.6463,2546.0
2018-02-01,All,1142.0,570275.0517,2841.0
2018-03-01,All,1573.0,590184.0477,2524.0
2018-04-01,All,1574.0,601210.9187,2023.0
2018-05-01,All,1742.0,603081.8817,3201.0
2018-06-01,All,1593.0,605529.6855,1566.0
2018-07-01,All,1415.0,582547.3986,1906.0
2018-08-01,All,1388.0,585355.5893,2083.0
2018-09-01,All,1282.0,615581.6841,3441.0
2018-10-01,All,1519.0,603153.2923,2360.0
2018-11-01,All,1370.0,595677.4423,2860.0
2018-12-01,All,848.0,594381.5271,2539.0
2019-01-01,All,840.0,591443.8988,1681.0
2019-02-01,All,1064.0,612488.5451,1100.0
2019-03-01,All,1349.0,603969.0778,2094.0
2019-04-01,All,1608.0,637180.4179,2796.0
2019-05-01,All,1739.0,642890.7171,1659.0
2019-06-01,All,1497.0,636606.483,1130.0
2019-07-01,All,1617.0,627926.9363,4212.0
2019-08-01,All,1410.0,619306.5482,1737.0
2019-09-01,All,1450.0,636817.5055,1273.0
2019-10-01,All,1575.0,662631.1187,801.0
2019-11-01,All,1368.0,659855.318,2113.0
2019-12-01,All,884.0,656232.5351,2478.0
2020-01-01,All,918.0,679182.1623,3187.0
2020-02-01,All,1335.0,722674.6517,2623.0
2020-03-01,All,1402.0,712745.8474,2131.0
2020-04-01,All,482.0,612300.5021,2640.0
2020-05-01,All,727.0,674028.0977,2586.0
2020-06-01,All,1287.0,672465.0528,2208.0
2020-07-01,All,1689.0,682999.5867,3164.0
2020-08-01,All,1536.0,673173.9453,2689.0
2020-09-01,All,1549.0,686191.4216,3922.0
2020-10-01,All,1438.0,668160.6273,2872.0
2020-11-01,All,1375.0,640207.7862,2295.0
2020-12-01,All,1551.0,625828.1154,1903.0
2021-01-01,All,1703.0,624885.623,1018.0
2021-02-01,All,2167.0,676837.4998,3929.0
2021-03-01,All,2614.0,707835.1083,5342.0
2021-04-01,All,2277.0,727137.343,2271.0
