"Job vacancies and average offered hourly wage by occupation (broad occupational category), quarterly, unadjusted for seasonality 1 2",,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0356-01 (formerly CANSIM 285-0003),,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory, Economic region",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,
National Occupational Classification 4,Statistics,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
"Total, all occupations",,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"81,120E","89,325A","77,255A","82,125A","76,285A","86,750A","95,120A","90,990A","97,725A","92,365A","94,310A","97,770A","97,070A","99,360A","100,925A","111,315A","98,370A","103,085A","101,345A","99,070A","94,760A",..,..,"100,840A"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,20.35E,21.30A,20.60A,20.35A,21.70A,22.70B,22.70A,22.00A,22.65A,22.05A,22.20A,22.05A,23.30A,23.50A,23.60A,23.30A,24.20A,23.80A,23.95A,24.30A,25.40A,..,..,24.70A
Management occupations  [0],,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"6,075E","6,435C","7,265B","7,155B","9,085B","7,525B","9,620B","8,020B","7,815B","8,650B","7,675A","8,645B","8,770B","7,525A","8,480A","9,050B","8,000B","8,595B","8,145A","7,820B","9,225A",..,..,"7,250B"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,34.95E,39.85A,35.60A,35.95A,33.30B,38.85A,39.20A,38.95A,38.45A,37.90A,40.95A,38.30A,41.05A,42.50A,41.70A,43.45A,43.30A,43.75A,43.70A,45.80A,43.75A,..,..,45.55A
"Business, finance and administration occupations  [1]",,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"11,525E","14,420C","11,440B","11,515B","12,410B","12,370B","18,165B","14,160A","17,770B","15,015A","14,700A","15,545B","17,245B","15,070A","16,295A","18,465A","16,140B","16,370A","15,860A","15,625A","17,110A",..,..,"16,365B"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,22.15E,22.85B,22.75A,22.50A,23.40A,22.70A,21.80A,22.30A,23.30A,24.95A,24.60A,23.85A,23.75A,24.60A,24.75A,24.40A,24.45A,24.85A,25.20A,24.25A,24.85A,..,..,24.10A
Natural and applied sciences and related occupations  [2],,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,"8,590C","6,235B","6,810B","6,990B","7,865B","9,230B","7,255B","7,395B","8,380B","8,850B","8,005B","8,760B","10,295B","10,175B","10,470B","9,495B","9,590B","9,395B","9,555B","10,175B",..,..,"9,890B"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,32.45E,31.60A,31.65A,32.15A,33.90B,32.45A,32.00A,33.25A,32.75A,33.25A,33.70A,33.75A,34.10A,34.15A,34.55A,33.65A,33.50A,32.80A,33.70A,35.55A,35.70A,..,..,38.90B
Health occupations  [3],,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,"3,190D","2,840C","2,925C","3,085C","3,650B","3,815B","3,665C","5,480C","4,045B","4,425B","4,970B","5,170B","5,800B","5,660B","5,425B","6,730B","5,855B","6,175B","6,140B","6,430B",..,..,"10,045C"
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
,Average offered hourly wage 6,26.10E,26.25B,28.90B,25.90A,25.05B,26.90A,28.40A,26.50A,28.20A,27.25A,24.95A,27.40A,28.25A,29.15A,29.40A,28.45A,30.50B,29.10A,29.65A,28.40A,28.40B,..,..,27.25C
"Occupations in education, law and social, community and government services  [4]",,Number,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,F,"3,745C","3,350C","3,945D","3,900C","4,055B","4,095C","4,450C","5,275C","4,685B","6,040B","5,525B","6,410D","7,625D","6,665B","6,545B","7,345C","7,110B","6,130B","6,935B","6,110B",..,..,"8,105B"
