,Sales,Dollar Volume,Average Price,Median Price,New Listings,Active Listings,Avg. SP / LP,Avg. DOM
TREB Total,"5,084","$2,712,043,110","$533,447","$470,000","8,030","3,012",100%,23
City of Toronto Total,"3,611","$2,066,903,465","$572,391","$506,800","5,425","1,854",100%,21
Toronto West,805,"$377,069,018","$468,409","$440,000","1,147",399,100%,22
Toronto W01,71,"$41,182,488","$580,035","$540,000",91,18,101%,14
Toronto W02,46,"$25,102,047","$545,697","$485,250",54,8,103%,12
Toronto W03,14,"$6,223,600","$444,543","$419,000",21,5,100%,12
Toronto W04,81,"$32,567,925","$402,073","$398,000",117,47,99%,23
Toronto W05,67,"$22,290,196","$332,689","$350,000",105,44,98%,24
Toronto W06,204,"$110,694,927","$542,622","$489,500",315,126,101%,23
Toronto W07,6,"$2,903,900","$483,983","$542,500",6,2,98%,28
Toronto W08,181,"$91,611,910","$506,143","$460,000",256,75,100%,18
Toronto W09,37,"$13,227,100","$357,489","$283,000",55,23,97%,37
Toronto W10,98,"$31,264,925","$319,030","$333,000",127,51,98%,31
Toronto Central,"2,323","$1,494,996,162","$643,563","$557,000","3,533","1,197",100%,20
Toronto C01,975,"$642,045,759","$658,508","$576,000","1,411",432,101%,20
Toronto C02,90,"$101,580,100","$1,128,668","$815,000",174,86,98%,29
Toronto C03,31,"$22,521,900","$726,513","$600,000",59,21,100%,14
Toronto C04,31,"$24,339,514","$785,146","$530,000",53,21,101%,18
Toronto C06,35,"$17,142,988","$489,800","$505,000",48,15,99%,21
Toronto C07,132,"$76,197,700","$577,255","$535,250",208,95,99%,27
Toronto C08,351,"$235,564,104","$671,123","$602,500",513,143,102%,17
Toronto C09,18,"$14,247,900","$791,550","$705,500",28,14,104%,15
Toronto C10,82,"$54,545,738","$665,192","$588,000",148,48,100%,13
Toronto C11,45,"$16,723,100","$371,624","$365,000",63,24,101%,21
Toronto C12,10,"$9,379,999","$938,000","$866,000",16,7,99%,22
Toronto C13,81,"$41,450,356","$511,733","$445,000",120,38,99%,21
Toronto C14,236,"$134,866,733","$571,469","$535,500",342,106,100%,21
Toronto C15,206,"$104,390,271","$506,749","$460,000",350,147,99%,24
Toronto East,483,"$194,838,285","$403,392","$376,800",745,258,100%,22
Toronto E01,26,"$17,447,368","$671,053","$581,250",39,8,106%,6
Toronto E02,19,"$11,527,000","$606,684","$515,000",30,9,102%,15
Toronto E03,19,"$7,350,323","$386,859","$340,000",27,8,101%,14
Toronto E04,78,"$27,226,080","$349,052","$342,000",116,38,100%,17
Toronto E05,64,"$25,067,439","$391,679","$377,150",123,54,97%,28
Toronto E06,3,"$1,869,900","$623,300","$700,000",12,10,100%,2
Toronto E07,88,"$34,666,388","$393,936","$395,500",139,46,100%,24
Toronto E08,46,"$17,025,838","$370,127","$340,000",49,12,98%,31
Toronto E09,96,"$38,297,599","$398,933","$385,000",148,52,99%,22
Toronto E10,8,"$2,388,000","$298,500","$320,000",14,4,96%,40
Toronto E11,36,"$11,972,350","$332,565","$338,000",48,17,99%,26
