,Sales 1,Dollar Volume 1,Average Price 1,Median Price 1,New Listings 2,Active Listings 3,Avg. SP/LP 4,Avg. DOM 5
TRREB Total,"7,072","$4,479,999,861","$633,484","$565,000","17,613","7,253",100%,20
City of Toronto Total,"4,770","$3,248,194,752","$680,963","$604,500","12,954","5,423",100%,18
Toronto West,"1,108","$666,509,007","$601,542","$555,500","2,405",897,100%,18
Toronto W01,89,"$62,600,156","$703,373","$650,000",192,52,101%,13
Toronto W02,79,"$58,244,388","$737,271","$689,900",160,55,102%,13
Toronto W03,19,"$10,393,500","$547,026","$517,500",60,25,100%,16
Toronto W04,107,"$53,148,112","$496,711","$490,000",255,97,100%,19
Toronto W05,73,"$34,507,050","$472,699","$475,000",173,80,100%,21
Toronto W06,301,"$202,749,260","$673,586","$620,555",681,275,100%,17
Toronto W07,11,"$8,510,700","$773,700","$683,000",25,8,100%,9
Toronto W08,268,"$161,816,960","$603,795","$550,150",592,206,100%,17
Toronto w09,49,"$23,211,700","$473,708","$415,000",93,41,98%,31
Toronto W10,112,"$51,327,181","$458,278","$463,750",174,58,99%,24
Toronto Central,"2,928","$2,194,889,532","$749,621","$650,000","9,090","4,044",100%,19
Toronto C01,"1,109","$837,990,796","$755,627","$682,800","3,871","1,753",100%,18
Toronto C02,128,"$174,192,269","$1,360,877","$916,750",451,233,98%,25
Toronto C03,37,"$33,075,426","$893,930","$688,000",99,43,98%,24
Toronto C04,29,"$24,003,818","$827,718","$685,018",65,33,100%,15
Toronto C06,58,"$34,099,513","$587,923","$572,100",124,47,101%,22
Toronto C07,148,"$95,200,004","$643,243","$622,500",345,133,101%,17
Toronto C08,537,"$391,245,312","$728,576","$660,000","1,902",877,100%,19
Toronto C09,33,"$49,570,403","$1,502,133","$1,064,000",113,58,98%,20
Toronto C10,140,"$96,153,248","$686,809","$660,000",433,203,100%,17
Toronto C11,77,"$44,377,310","$576,329","$517,000",159,62,101%,15
Toronto C12,24,"$36,384,000","$1,516,000","$918,500",55,23,98%,19
Toronto C13,109,"$68,285,207","$626,470","$567,500",228,73,100%,18
Toronto C14,244,"$155,589,966","$637,664","$614,000",629,247,100%,17
Toronto C15,255,"$154,722,260","$606,754","$571,500",616,259,100%,20
Toronto East,734,"$386,796,213","$526,970","$475,500","1,459",482,101%,17
Toronto E01,53,"$45,317,913","$855,055","$780,000",122,37,102%,10
Toronto E02,42,"$35,093,712","$835,565","$709,950",136,40,101%,16
Toronto E03,47,"$23,847,000","$507,383","$460,000",86,25,101%,19
Toronto E04,85,"$38,661,300","$454,839","$445,000",161,41,102%,15
Toronto E05,102,"$52,060,413","$510,396","$490,000",176,54,100%,21
Toronto E06,23,"$13,820,188","$600,878","$555,000",46,21,99%,20
Toronto E07,119,"$58,026,540","$487,618","$490,000",197,65,100%,18
Toronto E08,62,"$28,422,882","$458,434","$429,000",124,54,102%,16
Toronto E09,112,"$54,552,568","$487,077","$475,000",278,112,100%,17
Toronto E10,11,"$4,141,888","$376,535","$392,000",21,6,103%,21
Toronto E11,78,"$32,851,809","$421,177","$410,500",112,27,101%,19
